SNS Reaal Groep,Bestuur SNS Reaal Groep
Atradius,Beleggingscommissie Atradius
ING Bank CDC fonds,Beleggingscommissie ING Bank CDC fonds
Vopak,Beleggingscommissie Vopak
Personeelspensioenfonds APF,Bestuur Personeelspensioenfonds APF
Consumentenbond,Bestuur Consumentenbond
KPN,Bestuur KPN
DSM Nederland,Bestuur DSM Nederland
"Schoen-, Leder- en Lederwarenindustrie","Bestuur Schoen-, Leder- en Lederwarenindustrie"
Nedlloyd,Beleggingscommissie Nedlloyd
Sligro Food Group,Beleggingscommissie Sligro Food Group
Avery Dennison,Beleggingscommissie Avery Dennison
SC Johnson,Beleggingscommissie SC Johnson
Unirobe Meeus groep,Beleggingscommissie Unirobe Meeus groep
Robeco,Beleggingscommissie Robeco
DSM Nederland,Beleggingscommissie DSM Nederland
APG,Beleggingscommissie APG
TNO,Bestuur TNO
ANWB P,Bestuur ANWB P
SCA,Bestuur SCA
Schoenmakerij,Beleggingscommissie Schoenmakerij
HAL,Beleggingscommissie HAL
APF,Beleggingscommissie APF
KLM Vliegend Personeel,Beleggingscommissie KLM Vliegend Personeel
Flexsecurity,Bestuur Flexsecurity
Roba,Bestuur Roba
Blue Sky Group,Beleggingscommissie Blue Sky Group
MSD,Beleggingscommissie MSD
Schoonmaak- en Glazenwassersbedrijf,Beleggingscommissie Schoonmaak- en Glazenwassersbedrijf
Chemours Nederland,Beleggingscommissie Chemours Nederland
Reisbranche,Beleggingscommissie Reisbranche
PPG Industries Nederland,Beleggingscommissie PPG Industries Nederland
Henkel,Beleggingscommissie Henkel
Het Nederlandse Pensioenfonds,Bestuur Het Nederlandse Pensioenfonds
Detailhandel,Beleggingscommissie Detailhandel
Grolsche bierbrouwerij,Beleggingscommissie Grolsche bierbrouwerij
Heineken,Beleggingscommissie Heineken
Personeelspensioenfonds APF,Beleggingscommissie Personeelspensioenfonds APF
Werk en (re)Integratie,Bestuur Werk en (re)Integratie
Meubelindustrie en Meubileringsbedrijven,Bestuur Meubelindustrie en Meubileringsbedrijven
RBS Nederland,Bestuur RBS Nederland
De Nationale,Beleggingscommissie De Nationale
Honeywell,Beleggingscommissie Honeywell
"Schilders-, Afwerkings- en Glaszetbedrijf","Bestuur Schilders-, Afwerkings- en Glaszetbedrijf"
Tandtechniek,Bestuur Tandtechniek
Smurfit Kappa Nederland,Bestuur Smurfit Kappa Nederland
Archimedes,Bestuur Archimedes
Progress Unilever,Bestuur Progress Unilever
Will Niemeijer,Bestuur Will Niemeijer
Shell,Bestuur Shell
Groothandel,Beleggingscommissie Groothandel
Medische Specialisten,Beleggingscommissie Medische Specialisten
Zorg en Welzijn,Beleggingscommissie Zorg en Welzijn
Ecolab,Beleggingscommissie Ecolab
KLM Vliegend Personeel,Bestuur KLM Vliegend Personeel
Bibliotheken openbare,Beleggingscommissie Bibliotheken openbare
Mn Services,Bestuur Mn Services
Wolters Kluwer Nederland,Bestuur Wolters Kluwer Nederland
ING Bank CDC fonds,Bestuur ING Bank CDC fonds
Unirobe Meeus groep,Bestuur Unirobe Meeus groep
Abbott Nederland,Beleggingscommissie Abbott Nederland
Deutsche Bank Nederland,Beleggingscommissie Deutsche Bank Nederland
Xerox,Beleggingscommissie Xerox
PGGM,Bestuur PGGM
APF,Bestuur APF
Huisartsen in Opleiding,Bestuur Huisartsen in Opleiding
Notariaat,Bestuur Notariaat
Invista,Beleggingscommissie Invista
Meubelindustrie en Meubileringsbedrijven,Beleggingscommissie Meubelindustrie en Meubileringsbedrijven
Centraal Beheer,Bestuur Centraal Beheer
KCM,Bestuur KCM
Horecabedrijf,Bestuur Horecabedrijf
Forbo,Beleggingscommissie Forbo
Tandartsen en Tandarts-Specialisten,Beleggingscommissie Tandartsen en Tandarts-Specialisten
Alliance,Bestuur Alliance
OWASE P,Bestuur OWASE P
Levensmiddelenbedrijf,Beleggingscommissie Levensmiddelenbedrijf
KLM-Cabinepersoneel,Beleggingscommissie KLM-Cabinepersoneel
Bouwmaterialen,Beleggingscommissie Bouwmaterialen
Betonproduktenindustrie,Beleggingscommissie Betonproduktenindustrie
AFM,Beleggingscommissie AFM
Remia,Beleggingscommissie Remia
Textielverzorging,Beleggingscommissie Textielverzorging
"Schilders-, Afwerkings- en Glaszetbedrijf","Beleggingscommissie Schilders-, Afwerkings- en Glaszetbedrijf"
PGB,Beleggingscommissie PGB
Protector,Bestuur Protector
Transavia vliegers,Bestuur Transavia vliegers
Stap,Bestuur Stap
Bavaria,Bestuur Bavaria
Transport,Bestuur Transport
TDV,Bestuur TDV
Lombard Odier,Bestuur Lombard Odier
Recreatie (SPR),Bestuur Recreatie (SPR)
Timeos,Bestuur Timeos
Aon Groep Nederland,Beleggingscommissie Aon Groep Nederland
Fysiotherapeuten,Beleggingscommissie Fysiotherapeuten
Molenaarspensioenfonds,Beleggingscommissie Molenaarspensioenfonds
E-Way,Beleggingscommissie E-Way
TrueBlue,Beleggingscommissie TrueBlue
Woningcorporaties,Beleggingscommissie Woningcorporaties
Architectenbureaus,Beleggingscommissie Architectenbureaus
Zorgverzekeraars,Bestuur Zorgverzekeraars
Security,Beleggingscommissie Security
ERIKS,Bestuur ERIKS
Lloyd's Register Nederland,Beleggingscommissie Lloyd's Register Nederland
SABIC,Beleggingscommissie SABIC
Hewlett-Packard,Beleggingscommissie Hewlett-Packard
Xerox,Bestuur Xerox
Telegraafpensioenfonds 1959,Beleggingscommissie Telegraafpensioenfonds 1959
Tandtechniek,Beleggingscommissie Tandtechniek
Sigarenindustrie en aanverwante Bedrijven,Beleggingscommissie Sigarenindustrie en aanverwante Bedrijven
Fracties,Beleggingscommissie Fracties
Roeiers in het Rotterdamse havengebied,Beleggingscommissie Roeiers in het Rotterdamse havengebied
TOTAL,Beleggingscommissie TOTAL
AT&T Nederland,Beleggingscommissie AT&T Nederland
Levensmiddelen Groothandel,Bestuur Levensmiddelen Groothandel
Kunststof- en Rubberindustrie,Beleggingscommissie Kunststof- en Rubberindustrie
Accountancy,Beleggingscommissie Accountancy
Accountancy,Bestuur Accountancy
Bouwmaterialen,Bestuur Bouwmaterialen
Unilever NL Forward,Beleggingscommissie Unilever NL Forward
ING,Beleggingsadviseur ING
Verloskundigen,Beleggingscommissie Verloskundigen
Atos Origin,Bestuur Atos Origin
Delta Lloyd,Beleggingscommissie Delta Lloyd
Atos Origin,Beleggingscommissie Atos Origin
Banden- en Wielenbranche,Beleggingscommissie Banden- en Wielenbranche
Achmea IM,Beleggingscommissie Achmea IM
Campina,Beleggingscommissie Campina
UWV,Bestuur UWV
McCain,Beleggingscommissie McCain
Legal & General,Beleggingscommissie Legal & General
IKEA,Beleggingscommissie IKEA
Deloitte,Beleggingscommissie Deloitte
ABP,Beleggingscommissie ABP
BP,Beleggingscommissie BP
Landbouw,Beleggingscommissie Landbouw
Vlees- en Vleeswarenindustrie en de Gemaksvoedingindustrie,Bestuur Vlees- en Vleeswarenindustrie en de Gemaksvoedingindustrie
Grontmij,Beleggingscommissie Grontmij
Zuivel en aanverwante industrie,Bestuur Zuivel en aanverwante industrie
Stap,Beleggingscommissie Stap
MPD,Beleggingscommissie MPD
Bakkersbedrijf BPF,Bestuur Bakkersbedrijf BPF
Mercer,Beleggingscommissie Mercer
Philips,Beleggingscommissie Philips
Gasunie,Beleggingscommissie Gasunie
Smurfit Kappa Nederland,Beleggingscommissie Smurfit Kappa Nederland
Sagittarius,Bestuur Sagittarius
Particuliere Beveiliging,Beleggingscommissie Particuliere Beveiliging
Particuliere Beveiliging,Bestuur Particuliere Beveiliging
IFF,Beleggingscommissie IFF
Technische Groothandel Vroeg,Beleggingscommissie Technische Groothandel Vroeg
KCM,Beleggingscommissie KCM
NN,Bestuur NN
Getronics,Beleggingscommissie Getronics
Personeelspensioenfonds APG,Beleggingscommissie Personeelspensioenfonds APG
ORTEC,Bestuur ORTEC
Mercer,Bestuur Mercer
Grolsche bierbrouwerij,Bestuur Grolsche bierbrouwerij
FORD Nederland,Bestuur FORD Nederland
ORTEC,Beleggingscommissie ORTEC
Provisum,Beleggingscommissie Provisum
Kappersbedrijf,Bestuur Kappersbedrijf
Nike Nederland,Beleggingscommissie Nike Nederland
TDV,Beleggingscommissie TDV
Hunter Douglas,Beleggingsadviseur Hunter Douglas
Co-op,Bestuur Co-op
Equens,Beleggingscommissie Equens
Sigarenindustrie en aanverwante Bedrijven,Bestuur Sigarenindustrie en aanverwante Bedrijven
