"Bestuur Vlakglas, Verf, het Glasbewerkings- en het Glazeniersbedrijf",A. Heijma
Bestuur SNS Reaal Groep,M. Eisma
Bestuur Loodsen,H. den Dulk
Bestuur YARA Nederland,J. Kleij
Beleggingscommissie Beroepsvervoer over de Weg,R. Topsvoort
Beleggingscommissie Spoorwegpensioenfonds,H. den Dulk
Beleggingscommissie Tandartsen en Tandarts-Specialisten,J. Kleij
Beleggingscommissie Medewerkers Apotheken,B. Hamaekers
Beleggingscommissie Samenwerking / Slagersbedrijf,M. Euverman
Beleggingscommissie Bouwmaterialen,G. Bierlaagh
Bestuur TKP,G. Groot
Bestuur Lanschot,T. Melchior
Bestuur PGGM,W. Korving
Bestuur Recreatie (SPR),L. van Vliet
Bestuur Kas Bank,R. van Groningen
Bestuur Textielgoederen en Aanverwante Artikelen Groothandel,D. Haak
Bestuur Hagee,M. Oude Reimer
Bestuur Kunststof- en Rubberindustrie,J. Labree
Bestuur De Nationale,G. de Vries
Beleggingscommissie Rijn- en Binnenvaart,G. Groot
Beleggingscommissie Will Niemeijer,T. Melchior
Beleggingscommissie E-Way,G. de Vries
Beleggingscommissie MN,H. Dhondt
Bestuur Hunter Douglas,D. Vis
Bestuur Allianz Nederland,G. Broekman
Bestuur Bibliotheken openbare,H. Valley
Bestuur Openbaar Vervoer,R. van Ham
Bestuur KLM Algemeen,G. Koning
Bestuur Mn Services,J. de Vrieze
Bestuur Thales,P. te Riele
Beleggingscommissie SPF beheer,D. Vis
Beleggingscommissie Cap Gemini Nederland,J. de Vrieze
Bestuur Cosun,A. van Schaik
Bestuur Timeos,W. Lievense
Bestuur Levensmiddelenbedrijf,N. Baras
Bestuur Remia,D. van Dorsten
Bestuur Flexsecurity,M. Hordijk
Bestuur SCA,R. Boonman
Bestuur Coram,P. Smits-Enters
Bestuur Accountancy,B. Smits
Beleggingscommissie Lloyd's Register Nederland,G. van Dalen
Beleggingscommissie Centraal Beheer,R. Boonman
Beleggingscommissie Achmea Personeel,W. Lievense
Beleggingscommissie Wolters Kluwer Nederland,H. Hoos
Bestuur Xerox,N. Mol
Bestuur Sigarenindustrie en aanverwante Bedrijven,G. Getkate
Bestuur Het Nederlandse Pensioenfonds,P. Lemmens
Bestuur Verloskundigen,R. Bosch
Bestuur SC Johnson,D. Kleinjan
Bestuur Reisbranche,C. Troost
Bestuur Wolters Kluwer Nederland,J. Lock
Beleggingscommissie Avery Dennison,G. Getkate
Beleggingscommissie Remia,C. Troost
Beleggingscommissie British American Tobacco,H. Scheppink
Beleggingsadviseur Agrarische en Voedselvoorzieningshandel,P. Laven
Bestuur Fresenius Nederland,A.W. de jong
Bestuur Henkel,H. Mol
Bestuur Lombard Odier,H. de Vaan
Bestuur British American Tobacco,L. Kleijer-Blok
Bestuur Holland Casino,C. de Wit
Bestuur HAL,E. Ligthart
Bestuur AXA,C. Quint
Bestuur Volo,K. Boijenga
Bestuur Rijn- en Binnenvaart,E. Luiken
Bestuur Henkel,R. van Sintemaartensdijk
Beleggingscommissie Mn Services,M. van Gool
Beleggingscommissie Urenco Nederland,A. van Nunen
Beleggingscommissie Textielgoederen en Aanverwante Artikelen Groothandel,T. Groeneveld
Beleggingscommissie Douwe Egberts,S. Ifvarsson
Beleggingscommissie Centraal Beheer,R. van Sintemaartensdijk
Beleggingscommissie Horecabedrijf,C. van Capelle
Bestuur Flexsecurity,H. Thoman
Bestuur TOTAL,J. Gierveld
Bestuur Blue Sky Group,E. Paternotte
Bestuur Medische Specialisten,A. Meijerink
Bestuur Rabobankorganisatie,W. Vermeulen
Bestuur Levensmiddelenbedrijf,L. van der Stappen
Bestuur Textielgoederen en Aanverwante Artikelen Groothandel,P. van Rooijen
Beleggingscommissie KLM Vliegend Personeel,J. Gierveld
Beleggingscommissie Cindu International,A. Meijerink
Beleggingscommissie Will Niemeijer,W. Vermeulen
Beleggingscommissie Banden- en Wielenbranche,J. Pienaar
Beleggingscommissie Zoetwarenindustrie,A. Wender
Beleggingscommissie TKP,M. Brandwijk
Bestuur Ring Transavia grondpersoneel,H. Mak
Bestuur IBM Nederland,D. Uitvlugt
Bestuur BMO,M. Bults
Bestuur Notariaat,G. Evers
Bestuur Groothandel,G. Soppe
Bestuur Security,G. Mol
Bestuur KPN,A. Keetlaer
"Bestuur Metalektro, bedrijfstakpensioenfonds",A. Verbakel
Beleggingscommissie Xerox,A. Keetlaer
Beleggingscommissie RBS Nederland,M. Bults
Beleggingscommissie Textielverzorging,H. Mak
Beleggingscommissie Molenaarspensioenfonds,A. Verbakel
Certificerend Actuaris Openbaar Vervoer,B. den Hartog
Accountant Equens,H. van der Rijst
Certificerend Actuaris Kas Bank,R. Kruijff
Adviserend Actuaris Nedlloyd,R. Dijkstra
Accountant Fysiotherapeuten,H. van der Rijst
Certificerend Actuaris Het Nederlandse Pensioenfonds,H. Zaghdoudi
Accountant Molenaarspensioenfonds,H. Plomp
Beleggingsadviseur Ballast Nedam,P. Molenaar
Beleggingsadviseur Dow,D. Gerritsen
Adviserend Actuaris Ring Transavia cabinepersoneel,B. van Boesschoten
Beleggingsadviseur E-Way,D. van Ek
Accountant OWASE P,M. van Zeelst
Adviserend Actuaris KLM Vliegend Personeel,S. de Vries
Accountant Drankindustrie,J. van Kleef
Certificerend Actuaris Kunststof- en Rubberindustrie,R. Westhoff
Certificerend Actuaris Robeco AM,A. Plekker
Accountant Delta Lloyd,J. Kolsters
Certificerend Actuaris Protector,J. Tol
Accountant NN,J. Kolsters
Certificerend Actuaris Cargill,A. Herlaar
Adviserend Actuaris Robeco,M. Pernot
Certificerend Actuaris Ernst & Young,E. Schokker
Accountant Verloskundigen,J. van Kleef
Certificerend Actuaris Sanoma Magazines Nederland,R. Kruijff
Accountant Woningcorporaties,A. Snaak
Beleggingsadviseur Horecabedrijf,J. Boot
Certificerend Actuaris Witteveen & Bos,E. van den Doel
Accountant FORD Nederland,H. van der Rijst
Certificerend Actuaris Cate Koninklijke,A. Berger
Accountant SCA,J. Kolsters
Adviserend Actuaris ING,R. Sprenkels
Certificerend Actuaris TrueBlue,R. Westhoff
Accountant Urenco Nederland,W. Teeuwissen
Accountant Aon Groep Nederland,J. van Kleef
Certificerend Actuaris McCain,H. Zaghdoudi
Beleggingsadviseur IFF,M. Euverman
Adviserend Actuaris BP,L. Thissen
Certificerend Actuaris PepsiCo Nederland,P. Ruigrok
Beleggingsadviseur Ecolab,M. Iglesias del Sol
Certificerend Actuaris Transport,W. Hoekert
Accountant DSM Nederland,F. Glorie
Accountant SABIC,J. Hopmans
Accountant Verloskundigen,J. Hopmans
Accountant Zoetwarenindustrie,J. Niewold
Accountant Abbott Nederland,S. Spiessens
Accountant Robeco,J. Niewold
Accountant Buizerdlaan,F. van Groenestein
Accountant Randstad,N. Pul
Accountant TNT express,H. van der Rijst
Accountant Sigarenindustrie en aanverwante Bedrijven,H. Elgersma
Accountant De Nationale,W. Teeuwissen
Accountant Equens,F. Glorie
Accountant Metaal en Techniek,J. Pul
Accountant Atos Origin,N. Pul
Accountant Philips,C. de Witt
Accountant YARA Nederland,H. van der Rijst
Accountant Archimedes,C. Rijst
Accountant Campina,F. van den Wildenberg
Accountant Notarieel,A. Reijns
Accountant Detailhandel,J. Niewold
Accountant Sanoma Magazines Nederland,F. van den Wildenberg
Accountant Metro,A. Reijns
Accountant Timeos,S. Spiessens
Accountant Beroepsvervoer over de Weg,L. Oosterloo
Accountant Dow,J. Niewold
Accountant Fysiotherapeuten,S. van Oostenbrugge
Accountant ING Bank CDC fonds,L. Oosterloo
Accountant Equens,F. den Wildenberg
Accountant Tandartsen en Tandarts-Specialisten,H. van der Rijst
Accountant Campina,M. Ferwerda
Accountant KPN,J. Niewold
Accountant Sligro Food Group,H. van der Rijst
Accountant Notarieel,N. Pul
Accountant Cosun,S. Spiessens
Accountant Legal & General,L. Oosterloo
Accountant Notariaat,J. van Kleef
Accountant MN,F. van den Wildenberg
Accountant Detailhandel,H. van der Rijst
Accountant Transport,J. van Kleef
Accountant PGB,S. Spiessens
Accountant YARA Nederland,E. van der Hall
Accountant Wonen,H. Plomp
Accountant Ring Haskoning,H. Plomp
Accountant Douwe Egberts,S. Spiessens
Accountant Achmea Personeel,N. Pul
Accountant Metaal en Techniek,F. Glorie
Accountant ING,M. van Zeelst
Accountant Henkel,F. Glorie
Accountant Personeelspensioenfonds APF,F. Glorie
Accountant TrueBlue,C. Harteveld
Accountant MSD,J. van Kleef
Accountant CRH,H. van der Rijst
Accountant Albemarle,R. Pluymakers
Accountant Zoetwarenindustrie,S. Barendregt-Roojers
Accountant AZL,H. van der Rijst
Accountant MSD,F. van Groenestein
Accountant B&S,F. Glorie
Accountant Unirobe Meeus groep,H. van der Rijst
Accountant General Electric Nederland,A. Beijer
Accountant De Nationale,F. Glorie
Accountant Groothandel,S. Spiessens
Accountant Personeelsdiensten,S. Spiessens
Accountant Mercer,H. van der Rijst
Accountant Telegraafpensioenfonds 1959,J. van Kleef
Accountant AXA,L. Oosterloo
Accountant Bavaria,H. van der Rijst
Accountant E-Way,L. Oosterloo
Accountant Volo,H. Plomp
Accountant Werk en (re)Integratie,F. van Groenestein
Accountant AHOLD,H. van der Rijst
Accountant Allianz Nederland,J. Penon
Accountant SC Johnson,F. van den Wildenberg
Accountant Fysiotherapeuten,M. van Zeelst
Accountant Ring Transavia grondpersoneel,F. Glorie
Accountant SCA,J. van Kleef
Accountant TBI,H. van der Rijst
Accountant Avery Dennison,M. Ferwerda
Accountant Telegraafpensioenfonds 1959,C. Harteveld
Accountant Medische Specialisten,R. Pluymakers
Accountant Campina,H. Plomp
Accountant FORD Nederland,W. Teeuwissen
Accountant Koopvaardij,F. van den Wildenberg
Accountant Zorgverzekeraars,R. Pluymakers
Accountant Ballast Nedam,M. Ferwerda
Accountant Koopvaardij,J. van Kleef
Accountant Roeiers in het Rotterdamse havengebied,F. Glorie
Accountant Rijn- en Binnenvaart,M. van Luijk
Accountant TDV,H. Plomp
Accountant Tandartsen en Tandarts-Specialisten,S. Spiessens
Accountant Bouwmaterialen,J. Kolsters
Accountant Tandartsen en Tandarts-Specialisten,M. van Luijk
Accountant B&S,R. Pluymakers
Accountant Thales,M. van Zeelst
Accountant PepsiCo Nederland,C. Harteveld
Accountant SCA,C. Harteveld
Accountant TOTAL,M. Ferwerda
Accountant Mn Services,J. van Kleef
Accountant Kas Bank,J. van Kleef
Accountant Ring Transavia cabinepersoneel,J. van Kleef
Accountant Campina,F. van den Wildenberg
Accountant Delta Lloyd,H. van der Rijst
Accountant Metaal en Techniek,C. Harteveld
Accountant Particuliere Beveiliging,J. van Kleef
Accountant Pensura,C. Harteveld
Accountant Levensmiddelenbedrijf,J. van Kleef
Accountant AT&T Nederland,A. Snaak
Accountant Alliance,M. van Zeelst
Accountant Landbouw,L. Oosterloo
Accountant Loodsen,R. Pluymakers
Accountant MPD,O. van Agthoven
Accountant Avery Dennison,L. Oosterloo
Accountant Zoetwarenindustrie,J. van Kleef
Adviserend Actuaris Pensura,R. Schoutsen
Adviserend Actuaris Apothekers,A. den Hartogh
Adviserend Actuaris Pensura,S. Keijmel
Adviserend Actuaris Personeelspensioenfonds APG,J. Beelen
Adviserend Actuaris Meubelindustrie en Meubileringsbedrijven,B. van Boesschoten
Adviserend Actuaris Het Nederlandse Pensioenfonds,J. Beelen
Adviserend Actuaris APF,J. Huisman
Adviserend Actuaris Woningcorporaties,W. van Straten
Adviserend Actuaris ERIKS,K. Kusters
Adviserend Actuaris Co-op,F. Verschuren
Adviserend Actuaris IFF,H. van den Hatert
Adviserend Actuaris Getronics,B. den Hartog
Adviserend Actuaris Kunststof- en Rubberindustrie,A. den Hartogh
Adviserend Actuaris Huntsman Rozenburg,E. de Jong
Adviserend Actuaris IBM Nederland,C. Snoeks
Adviserend Actuaris Technische Groothandel Vroeg,W. Eikelboom
Adviserend Actuaris Nedlloyd,R. Kruijff
Adviserend Actuaris Cate Koninklijke,R. Westhoff
Adviserend Actuaris NIBC,R. Westhoff
Adviserend Actuaris Vitol Anker,B. Weijers
Adviserend Actuaris Croda,K. Kusters
Adviserend Actuaris IFF,M. Heemskerk
Adviserend Actuaris Zuivel en aanverwante industrie,M. van den Brink
Adviserend Actuaris NN CDC fonds,H. Zaghdoudi
Adviserend Actuaris Remia,F. van Rijn
Adviserend Actuaris Bouwnijverheid,H. Zaghdoudi
Adviserend Actuaris Archimedes,H. Zaghdoudi
Adviserend Actuaris Recreatie (SPR),R. Westhoff
Adviserend Actuaris Robeco,G. Veluwenkamp
Adviserend Actuaris Campina,M. Pernot
Adviserend Actuaris Atradius,S. Keijmel
"Adviserend Actuaris Vlakglas, Verf, het Glasbewerkings- en het Glazeniersbedrijf",M. Run-van Esch
Adviserend Actuaris Medewerkers Apotheken,M.G.A.B. De Wit
Adviserend Actuaris Smurfit Kappa Nederland,L. van Andel
Adviserend Actuaris BP,M. Wouda
Adviserend Actuaris Fracties,J. Schilder
Adviserend Actuaris Wonen,H. van Gemert
Adviserend Actuaris Recreatie (SPR),M. van Run
Adviserend Actuaris Recreatie (SPR),M. Pernot
Adviserend Actuaris Chevron,F. Verschuren
Certificerend Actuaris Banden- en Wielenbranche,M. Pernot
Certificerend Actuaris Huntsman Rozenburg,H. Zaghdoudi
Certificerend Actuaris Transavia vliegers,K. Kusters
Certificerend Actuaris NIBC,M. Heemskerk
Certificerend Actuaris Huysman,B. den Hartog
Certificerend Actuaris Remia,R. Sprenkels
Certificerend Actuaris Beroepsvervoer over de Weg,M. Heemskerk
Certificerend Actuaris TNO,R. van de Meerakker
Certificerend Actuaris Cosun,R. Westhoff
Certificerend Actuaris Gasunie,R. Kruijff
Certificerend Actuaris UWV,R. Westhoff
Certificerend Actuaris Protector,B. den Hartog
Certificerend Actuaris Getronics,M. Heemskerk
Certificerend Actuaris ORTEC,R. Kruijff
Certificerend Actuaris Huysman,R. Kruijff
Certificerend Actuaris SABIC,R. Kruijff
Certificerend Actuaris Banden- en Wielenbranche,K. Kusters
Certificerend Actuaris Ring Transavia cabinepersoneel,H. Zaghdoudi
Certificerend Actuaris Albemarle,C. Snoeks
Certificerend Actuaris Wolters Kluwer Nederland,W. Eikelboom
Certificerend Actuaris Dow,K. Kusters
Certificerend Actuaris Staples,M. Heemskerk
Certificerend Actuaris Deutsche Bank Nederland,S. Keijmel
Certificerend Actuaris Unirobe Meeus groep,B. den Hartog
Certificerend Actuaris Honeywell,R. van de Meerakker
Certificerend Actuaris ARCADIS Nederland,J. Tol
"Certificerend Actuaris Metalektro, bedrijfstakpensioenfonds",A. den Hartogh
Certificerend Actuaris Tandtechniek,A. den Hartogh
Certificerend Actuaris Werk en (re)Integratie,B. Weijers
Certificerend Actuaris Nike Nederland,C. Bos
Certificerend Actuaris Ballast Nedam,R. Schilder
Certificerend Actuaris Albemarle,S. Keijmel
Certificerend Actuaris Personeelsdiensten,B. van Boesschoten
Certificerend Actuaris Chemours Nederland,M. Stok
Certificerend Actuaris Rijn- en Binnenvaart,R. Sprenkels
Certificerend Actuaris Textielgoederen en Aanverwante Artikelen Groothandel,A. Herlaar
Certificerend Actuaris TBI,R. Schilder
Certificerend Actuaris Heijmans,R. Westhoff
Certificerend Actuaris Tandtechniek,G. Veluwenkamp
Certificerend Actuaris British American Tobacco,K. Kusters
Certificerend Actuaris Shell,A. Dongelmans
Certificerend Actuaris Samenwerking / Slagersbedrijf,A. den Hartogh
Certificerend Actuaris Personeelspensioenfonds APF,R. Kruijff
Certificerend Actuaris ORTEC,M. Roerdink
Certificerend Actuaris Architectenbureaus,B. Weijers
Certificerend Actuaris Woningcorporaties,D. Panneman
Certificerend Actuaris Philips,R. Kruijff
Certificerend Actuaris Progress Unilever,H. Zaghdoudi
Certificerend Actuaris TBI,J. Tol
Certificerend Actuaris Progress Unilever,A. Plekker
Certificerend Actuaris TrueBlue,M. Pernot
Certificerend Actuaris Honeywell,F. Verschuren
Certificerend Actuaris RBS Nederland,D. Panneman
Certificerend Actuaris Nederlandsche Bank,R. Westhoff
Certificerend Actuaris Protector,R. Sprenkels
Certificerend Actuaris Roeiers in het Rotterdamse havengebied,B. van Boesschoten
Certificerend Actuaris Vlees- en Vleeswarenindustrie en de Gemaksvoedingindustrie,A. Roerdink
Certificerend Actuaris Remia,A. Berger
Certificerend Actuaris Ernst & Young,M. van de Velde
Certificerend Actuaris Grontmij,A. den Hartogh
Certificerend Actuaris BMO,T. Veerman
Certificerend Actuaris Medewerkers Apotheken,R. Starren
Certificerend Actuaris Legal & General,M.G.A.B. De Wit
Certificerend Actuaris Consumentenbond,H. Zaghdoudi
Certificerend Actuaris Security,M. Ceelaert
"Certificerend Actuaris Schoen-, Leder- en Lederwarenindustrie",R. van de Meerakker
Certificerend Actuaris Vlees- en Vleeswarenindustrie en de Gemaksvoedingindustrie,G. Veluwenkamp
Certificerend Actuaris Hewlett-Packard,F. Verschuren
Certificerend Actuaris Allianz Nederland,E. Schokker
Certificerend Actuaris Hewlett-Packard,A. den Hartogh
Certificerend Actuaris Zuivel en aanverwante industrie,W. Hoekert
Certificerend Actuaris TOTAL,S. Keijmel
Certificerend Actuaris Personeelspensioenfonds APG,R. Westhoff
Certificerend Actuaris Textielgoederen en Aanverwante Artikelen Groothandel,W. Hoekert
"Certificerend Actuaris Vlakglas, Verf, het Glasbewerkings- en het Glazeniersbedrijf",P. Heesterbeek
Certificerend Actuaris IKEA,M. Pernot
Certificerend Actuaris Ring Haskoning,G. Ceelaert
Certificerend Actuaris TDV,M. Pernot
Certificerend Actuaris ABN AMRO Bank,R. van de Meerakker
Certificerend Actuaris Openbaar Vervoer,R. Sagoenie
Certificerend Actuaris Ernst & Young,R. Schilder
Certificerend Actuaris MSD,J. Tol
Certificerend Actuaris AHOLD,J. Schilder
Certificerend Actuaris AFM,F. Verschuren
Certificerend Actuaris Douwe Egberts,Y. Hauet
Certificerend Actuaris Coram,R. van der Meer
Certificerend Actuaris Heijmans,P. Heesterbeek
Certificerend Actuaris Achmea Personeel,P. Heesterbeek
Certificerend Actuaris NN,J. Schilder
Certificerend Actuaris Buizerdlaan,J. Tol
Certificerend Actuaris Buizerdlaan,C. Snoeks
Certificerend Actuaris Detailhandel,F. Verschuren
Certificerend Actuaris Cap Gemini Nederland,R. Sagoenie
Certificerend Actuaris Grolsche bierbrouwerij,M. Stok
Certificerend Actuaris Tandartsen en Tandarts-Specialisten,R. van de Meerakker
Certificerend Actuaris Werk en (re)Integratie,C. Bos
Certificerend Actuaris AT&T Nederland,M. Heemskerk
Certificerend Actuaris MPD,A. den Hartogh
Certificerend Actuaris Robeco,R. Schilder
Certificerend Actuaris IKEA,M. Stok
Certificerend Actuaris TBI,R. van der Meer
Certificerend Actuaris Equens,R. Schilder
Certificerend Actuaris Douwe Egberts,A. Plekker
Certificerend Actuaris Deutsche Bank Nederland,R. van der Meer
Certificerend Actuaris Fracties,A. Herlaar
Certificerend Actuaris Cargill,H. Veerman
Certificerend Actuaris Sanoma Magazines Nederland,A. van Stee
Certificerend Actuaris Fluor Nederland,M. Ceelaert
Certificerend Actuaris Ring Transavia cabinepersoneel,R. Sagoenie
"Certificerend Actuaris Mode-, Interieur-, Tapijt- en Textielindustrie",P. Heesterbeek
Certificerend Actuaris DSM Nederland,T. Veerman
Certificerend Actuaris Robeco AM,A. Herlaar
Accountant Hunter Douglas,L.M. Jansen
Certificerend Actuaris Medische Specialisten,J. Vink
Certificerend Actuaris Tandartsen en Tandarts-Specialisten,C. Snoeks
Certificerend Actuaris Gasunie,M. van de Velde
Certificerend Actuaris Ring Pon,G. Veluwenkamp
Certificerend Actuaris Hewlett-Packard,M. Pernot
Certificerend Actuaris BMO,H. Zaghdoudi
Certificerend Actuaris Campina,J. Schilder
Fiduciair Manager Ernst & Young,E. Hagen
Beleggingsadviseur Levensmiddelenbedrijf,M. Euverman
Beleggingsadviseur AXA,C. van den Berg
Beleggingsadviseur Lombard Odier,M. Iglesias del Sol
Beleggingsadviseur Invista,M. Thomassen
Beleggingsadviseur Transport,M. Iglesias del Sol
"Beleggingsadviseur Schilders-, Afwerkings- en Glaszetbedrijf",H. Kempen
Beleggingsadviseur Levensmiddelenbedrijf,M. Euverman
Beleggingsadviseur B&S,P. van Aalst
Beleggingsadviseur APG,G. van Tongeren
Beleggingsadviseur FORD Nederland,M. Thomassen
Beleggingsadviseur Smurfit Kappa Nederland,P. de Geus
Beleggingsadviseur Zorgverzekeraars,W. Schapendonk
Beleggingsadviseur Kunststof- en Rubberindustrie,A. van Nunen
Beleggingsadviseur Dierenartsen,R. Kamphuis
Beleggingsadviseur Landbouw,H. Hoos
Beleggingsadviseur Bakkersbedrijf BPF,M. Brandwijk
Beleggingsadviseur PostNL,J. Beenen
Beleggingsadviseur PepsiCo Nederland,R. van Asselt
Beleggingsadviseur Equens,M. Verheul
Beleggingsadviseur NN CDC fonds,R. van Asselt
Beleggingsadviseur Notariaat,H. Braker
Beleggingsadviseur PGGM,M. Thomassen
Beleggingsadviseur ABP,E. Bannet
Beleggingsadviseur Witteveen & Bos,M. van Beusekom
Beleggingsadviseur MSD,A. Eikelboom
Beleggingsadviseur PepsiCo Nederland,K. Roeloffs
Accountant AXA,J. van Kleef
Adviserend Actuaris Bouwmaterialen,F. van Houdt
Certificerend Actuaris TBI,R. van de Meerakker
Bestuur Huisartsen,C. Vollebregt
Bestuur Tandartsen en Tandarts-Specialisten,P. Bijkerk
Bestuur Urenco Nederland,E. van den Heuvel
Bestuur SPF beheer,D. van Rijn
Bestuur Huntsman Rozenburg,M. Staffhorst
"Bestuur Schilders-, Afwerkings- en Glaszetbedrijf",C. Dassen-Soons
Bestuur NN CDC fonds,H. Wendel
Bestuur Transavia vliegers,A. Nuijten-Van Aard
Bestuur Unirobe Meeus groep,H. van Herpen
Beleggingscommissie Cosun,H. Wendel
Beleggingscommissie Sigarenindustrie en aanverwante Bedrijven,A. Nuijten-Van Aard
Certificerend Actuaris Rockwool,C. Snoeks
Accountant Particuliere Beveiliging,F. van Groenestein
Accountant Russell,C. Harteveld
Certificerend Actuaris Blue Sky Group,K. Kusters
Beleggingsadviseur Ring Haskoning,M. Thomassen
Bestuur Shell,R. Siebesma
Bestuur NIBC,S. Schaab
Bestuur IKEA,A. Wentrup
Bestuur General Electric Nederland,G. Bunschoten
Beleggingscommissie ING,R. Siebesma
Beleggingscommissie ABN AMRO Bank,G. Bunschoten
Accountant MPD,W. Teeuwissen
Certificerend Actuaris Alliance,J. Vink
Certificerend Actuaris Dierenartsen,W. Hoekert
Accountant Lloyd's Register Nederland,F. van den Wildenberg
Bestuur IFF,C. Vollebregt
Bestuur Alliance,P. Bijkerk
Bestuur Fysiotherapeuten,L. de Jeu
Bestuur IFF,M. Bos
Bestuur Zorg en Welzijn,A. Meurs
Certificerend Actuaris Alliance,R. van de Meerakker
Adviserend Actuaris ERIKS,F. van Houdt
Accountant Fysiotherapeuten,J. van Kleef
Certificerend Actuaris Stap,B. Weijers
Accountant Chemours Nederland,R. Buitenhuis
Beleggingsadviseur Lombard Odier,M. van de Velde
Adviserend Actuaris MN,R. den Hertog
Certificerend Actuaris Architectenbureaus,M. Pernot
"Beleggingsadviseur Mode-, Interieur-, Tapijt- en Textielindustrie",Jeroen Boot
Certificerend Actuaris BlackRock,J. Tol
Certificerend Actuaris Openbaar Vervoer,B. Weijers
Accountant Accountancy,E. van der Hall
Certificerend Actuaris Consumentenbond,G. Veluwenkamp
Beleggingsadviseur Levensmiddelenbedrijf,P. Van Aalst
Accountant Urenco Nederland,A. Reijns
Certificerend Actuaris SABIC,B. Weijers
Bestuur Medewerkers Apotheken,R. van Mazijk
Bestuur Ring Transavia cabinepersoneel,L. Galesloot
Bestuur Buizerdlaan,J. van Alphen
Bestuur Will Niemeijer,N. Yacoubi
Bestuur Cosun,T. Roos
Beleggingscommissie Metro,J. van Alphen
Beleggingscommissie DSM Nederland,T. Roos
Bestuur Vitol Anker,B. Sprong
Bestuur Cargill,J. Luckner
Bestuur Tandartsen en Tandarts-Specialisten,A. Heuzinkveld
Bestuur KLM Algemeen,K. Jamoel
Bestuur Mn Services,J. Volkers
Bestuur Architectenbureaus,H. Hendriks
Bestuur Co-op,R. Hoeven
Bestuur Loodsen,R. Zijlman
Bestuur Technische Groothandel Vroeg,I. Laan
Bestuur Sagittarius,M. van Luijk
Bestuur Tandartsen en Tandarts-Specialisten,N. de Jager
Bestuur Roba,E. Wieringa
Bestuur TNT express,J. Besters
Bestuur Houthandel,H. Koekkoek
Bestuur Ring Haskoning,E. Appel
Bestuur ING Bank CDC fonds,P. Wennekes
Bestuur Huisartsen in Opleiding,L. Duijvestijn
Bestuur Grolsche bierbrouwerij,M. Hetem
Bestuur Huntsman Rozenburg,A. Neijenhuijs
Bestuur Unisys Nederland,Y. Reus
Bestuur Hewlett-Packard,T. Katerberg
Bestuur IFF,R. Zwijnenburg
Bestuur TNO,A. Crena de Iongh
Bestuur Openbaar Vervoer,A. Driesse
Bestuur Zorgverzekeraars,H. de Lange
Bestuur Allianz Nederland,J. Krijgsman
Bestuur DSM Nederland,H. Liekens
Bestuur Hoogovens,H. Peters
Bestuur Reisbranche,W. Janssen
Bestuur Legal & General,K. Nije
Bestuur Albemarle,R. Hommes
Bestuur Alcatel-Lucent,M. Roovers
Bestuur Hunter Douglas,G. de Zoeten
Bestuur Loodsen,H. Post
Bestuur Huntsman Rozenburg,P. de Lang
Bestuur Horecabedrijf,M. Rots
Bestuur DSM Nederland,G. Roest
Bestuur IKEA,R. Clement
Bestuur Samenwerking / Slagersbedrijf,B. van Dongen
Beleggingscommissie Albemarle,G. de Zoeten
Beleggingscommissie Transport,R. Clement
Beleggingsadviseur Waterbouw BPF,W. Boeschoten
Beleggingsadviseur Levensmiddelen Groothandel,M. Andringa
Beleggingsadviseur Fluor Nederland,M. Pinto
Bestuur Ring DHV,A. Jager
Bestuur Mars,M. de Gelder
Accountant Cargill,C. Harteveld
Certificerend Actuaris Vopak,A. den Hartogh
Bestuur Honeywell,P. van Eekelen
Bestuur Sligro Food Group,J. van Heezik
Bestuur Bisdommen,A.J. van den Berg
Bestuur Cindu International,M. de Vroom
Bestuur Schoenmakerij,R. van Straalen
Bestuur Shell,P. Hulshof
Bestuur Staples,R. Rosenau
Bestuur MSD,H. Debrauwer
Bestuur Particuliere Beveiliging,O. Bisschop
Bestuur Transavia vliegers,T. Keijzers
Bestuur Transport,E. Voorhoeve
Bestuur KLM-Cabinepersoneel,P. Bajema
Bestuur Transport,P. Silven-Keijzer
Bestuur Unirobe Meeus groep,P. Paanen
Bestuur Horecabedrijf,S. Brons
Bestuur Mars,R. Nagtegaal
Accountant Schoenmakerij,F. van den Wildenberg
Certificerend Actuaris SCA,W. Hoekert
Bestuur HAL,J.E.M. Scholing
Bestuur Centraal Beheer,C. de Groot
Bestuur Cate Koninklijke,W. Luijten
Bestuur Kappersbedrijf,G. Timmer
Bestuur AXA,A. Hartog
Bestuur Lombard Odier,F. Heemskerk
Beleggingscommissie Rockwool,M. Langendoen
Beleggingscommissie Philips,A. van Vliet
Beleggingscommissie ING,G. Timmer
Bestuur Randstad,J. Raaijmakers
Bestuur RBS Nederland,P. Frijlink
Bestuur Progress Unilever,C. Groense
Bestuur VNU,P. Vermeulen
Bestuur Bibliotheken openbare,J. Luhoff
Bestuur Meubelindustrie en Meubileringsbedrijven,G. Rebel
Bestuur Mn Services,H. Kompagnie
Beleggingscommissie Telegraafpensioenfonds 1959,J. Raaijmakers
Beleggingscommissie Technische Groothandel Vroeg,P. Vermeulen
Beleggingscommissie Shell,H. Nijkamp
Beleggingscommissie Deutsche Bank Nederland,P. Frijlink
Beleggingscommissie MPD,J. Luhoff
Beleggingscommissie PostNL,P. Hulshof
Beleggingscommissie Sligro Food Group,R. Rosenau
